filename,cloud_cover,clear_pixel_count_pt,count_orbit_pixels_pt,cloud_cover_pt
S2A_MSIL2A_20230603T112121_N0510_R037_T29SMD_20241003T053213,5.447297,33755895,42465686,21
S2A_MSIL2A_20230606T113321_N0510_R080_T29SMD_20240927T125840,79.126608,---,---,---
S2B_MSIL2A_20230608T112119_N0510_R037_T29SMD_20240912T081219,84.413916,---,---,---
S2B_MSIL2A_20230611T113319_N0510_R080_T29SMD_20240909T133438,26.618856,---,---,---
S2A_MSIL2A_20230613T112121_N0510_R037_T29SMD_20241009T195013,20.773299,20789963,42534154,51
S2A_MSIL2A_20230616T113321_N0510_R080_T29SMD_20240909T050739,50.873721,34919254,40693432,14
S2B_MSIL2A_20230618T112119_N0510_R037_T29SMD_20240909T054030,99.84746,---,---,---
S2B_MSIL2A_20230621T113319_N0510_R080_T29SMD_20240927T013156,84.891653,---,---,---
S2A_MSIL2A_20230623T112121_N0510_R037_T29SMD_20240909T043310,2.158048,41603693,42427020,2
S2A_MSIL2A_20230626T113321_N0510_R080_T29SMD_20240909T012545,5.97966,38733983,40842068,5
S2B_MSIL2A_20230628T112119_N0510_R037_T29SMD_20241003T143814,4.797741,41743239,42433628,2
S2B_MSIL2A_20230701T113319_N0510_R080_T29SMD_20240912T231135,19.567946,38118514,40728320,6
S2A_MSIL2A_20230703T112121_N0510_R037_T29SMD_20240913T073722,24.510913,30709611,42427020,28
S2A_MSIL2A_20230706T113321_N0510_R080_T29SMD_20240913T080545,1.918695,39523195,40706008,3
S2B_MSIL2A_20230708T112119_N0510_R037_T29SMD_20241002T021059,16.540298,23202642,42427020,45
S2B_MSIL2A_20230711T113319_N0510_R080_T29SMD_20241014T163717,14.958607,30204518,40907342,26
S2A_MSIL2A_20230713T112121_N0510_R037_T29SMD_20241017T233635,0.016137,42423775,42427256,0
S2A_MSIL2A_20230716T113321_N0510_R080_T29SMD_20240913T192426,3.210361,40836213,40839216,0
S2B_MSIL2A_20230718T112119_N0510_R037_T29SMD_20241018T170616,0.946907,41077195,42449790,3
S2B_MSIL2A_20230721T113329_N0510_R080_T29SMD_20241019T091212,28.682983,---,---,---
S2A_MSIL2A_20230723T112121_N0510_R037_T29SMD_20241015T204718,19.19183,41631438,42450603,2
S2A_MSIL2A_20230726T113321_N0510_R080_T29SMD_20240913T221607,1.12051,40818668,40818668,0
S2B_MSIL2A_20230728T112119_N0510_R037_T29SMD_20241020T062113,2.189821,39963919,42437385,6
S2B_MSIL2A_20230731T113319_N0510_R080_T29SMD_20241021T082932,0.890212,37537208,41014093,8
S2A_MSIL2A_20230802T112121_N0510_R037_T29SMD_20241026T173917,84.179258,---,---,---
S2A_MSIL2A_20230805T113321_N0510_R080_T29SMD_20241024T191057,0.117313,34543659,41052448,16
S2B_MSIL2A_20230807T112119_N0510_R037_T29SMD_20241017T012454,0.015543,42427020,42427020,0
